rating_id,game,message,action_taken,history,human_score
m0001,public_goods,I've contributed 12 each round. High contributions benefit everyone. Let's all contribute fairly to maximize our collective gains!,contributed 12 of 20,"12, 12, 12, 12",0
m0002,trust_game,We've built good reciprocity. I'll trust you again.,sent 7 of 10,"5, 6, 7, 6",0
m0003,public_goods,"If I contribute more, others might not follow suit, potentially leaving the pool too small for a fair split.",contributed 10 of 20,"12, 5, 15, 18, 16, 8, 10, 12",0
m0004,public_goods,"Current average contribution is $7, let's aim for a group share of 10!",contributed 3 of 20,"5, 10, 12, 8, 18, 15, 18",2
m0005,public_goods,"The safe choice is often the best choice, but it's also a very boring one.",contributed 5 of 20,"10, 8, 12",0
m0006,public_goods,Let's cooperate for mutual gain! I contributed 12 last round. Higher contributions benefit everyone through the multiplier. Please contribute generously!,contributed 12 of 20,12,0
m0007,public_goods,I've consistently contributed 12 tokens. Cooperation benefits everyone - let's all contribute fairly to maximize our returns!,contributed 12 of 20,"12, 12, 12, 12, 12",0
m0008,public_goods,Final round! I've consistently contributed 12 tokens to build trust. Let's maximize our collective benefit together.,contributed 12 of 20,"12, 12, 12, 12, 12, 12, 12, 12, 12",0
m0009,trust_game,We've built good trust over 9 rounds. I've consistently sent substantial amounts and you've returned fairly. Let's continue this mutually beneficial pattern.,sent 7 of 10,"5, 6, 6, 7",0
m0010,public_goods,I've contributed 15 every round. High contributions benefit everyone. Let's all contribute generously to maximize our collective payoff!,contributed 15 of 20,"15, 15, 15, 15",0
m0011,public_goods,Round 9/10: I've consistently contributed 15+ tokens. Cooperation benefits us all. Let's maintain strong contributions for a prosperous final round!,contributed 15 of 20,"20, 15, 15, 15, 15, 15, 15, 15",0
m0012,trust_game,I appreciate you returning 9 tokens in round 2 when you received 18. That was a fair split. I'm sending 6 tokens again to continue building trust.,sent 6 of 10,5,0
m0013,public_goods,I've consistently contributed 12 tokens. High contributions benefit everyone. Let's maintain cooperation for mutual gains in these final rounds.,contributed 12 of 20,"12, 12, 12, 12, 12",0
m0014,public_goods,The collective success is not in my individual gain alone.,contributed 8 of 20,"5, 10, 12",0
m0015,public_goods,I've consistently contributed 15 tokens each round. The pool multiplier benefits us all. Let's maximize our collective gain in these final rounds.,contributed 15 of 20,"15, 15, 15, 15, 15, 15, 15, 15",0
m0016,public_goods,"Others are contributing more than me, so I'll contribute the minimum to avoid being left behind.",contributed 1 of 20,"5, 8, 1, 5",0
m0017,public_goods,"Conformity is key, let's average out!",contributed 7 of 20,"10, 15, 5, 12, 5, 10, 17, 5",1
m0018,public_goods,Most contribute the least in Round 2 to encourage cooperation.,contributed 5 of 20,12,2
