rating_id,experiment_id,agent_id,round_num,kl_round,surprisal_round
m0001,479d2822ff7a47bc9659d491b5eec4de,5a000001,5,1.609438,1.609438
m0002,94703f480d00413c983624b783ee325d,5a000001,17,0.989517,1.388284
m0003,1ad6d4dbf9504727a10bbe83f48a7e74,wa000002,9,0.536789,1.609438
m0004,67f99354ad1545f4ad788ac6d02b77f3,wa000001,8,0.244980,2.297622
m0005,c589406ad63c4875ad11215ceef36957,wa000002,4,0.668940,1.895463
m0006,67f99354ad1545f4ad788ac6d02b77f3,5a000001,2,1.609438,1.609438
m0007,479d2822ff7a47bc9659d491b5eec4de,5a000002,6,1.387290,1.387290
m0008,c589406ad63c4875ad11215ceef36957,5a000001,10,1.387290,1.387290
m0009,ecd819d636ab4e69af1ad85d37967433,5a000001,17,0.989517,1.388284
m0010,eacd6c42ed3b41cebc986c39a4cd5eab,5a000001,5,0.226882,0.226882
m0011,1ad6d4dbf9504727a10bbe83f48a7e74,5a000002,9,0.160072,0.360235
m0012,ecd819d636ab4e69af1ad85d37967433,5a000001,5,0.248305,0.361229
m0013,67f99354ad1545f4ad788ac6d02b77f3,5a000001,6,1.387290,1.387290
m0014,67f99354ad1545f4ad788ac6d02b77f3,wa000001,4,0.315216,1.387290
m0015,67f99354ad1545f4ad788ac6d02b77f3,5a000002,9,0.190113,0.190113
m0016,6f900f95be41487cad98565ab9e9838e,wa000002,5,0.887295,0.291337
m0017,825a180f11e44c7e8d4966712afcb073,wa000001,9,0.451415,1.895463
m0018,1ad6d4dbf9504727a10bbe83f48a7e74,wa000002,2,0.882470,1.387290
m0019,1ad6d4dbf9504727a10bbe83f48a7e74,5a000001,4,0.228891,0.360235
m0020,eacd6c42ed3b41cebc986c39a4cd5eab,5a000001,4,0.434233,0.434233
m0021,fca62f2d643c44deb2993c1a13af85ea,5a000001,1,0.419070,1.388284
m0022,1ad6d4dbf9504727a10bbe83f48a7e74,5a000002,5,0.188675,0.360235
m0023,1ad6d4dbf9504727a10bbe83f48a7e74,wa000002,1,0.161239,1.205633
m0024,1a702df13979421e82e56d700bf6c30a,5a000001,17,1.476487,1.896458
m0025,479d2822ff7a47bc9659d491b5eec4de,wa000002,5,1.221524,2.297622
m0026,67f99354ad1545f4ad788ac6d02b77f3,5a000002,1,0.131685,0.131685
m0027,1ad6d4dbf9504727a10bbe83f48a7e74,5a000002,2,0.188675,0.360235
m0028,479d2822ff7a47bc9659d491b5eec4de,5a000002,7,1.387290,1.387290
m0029,825a180f11e44c7e8d4966712afcb073,wa000002,6,1.196062,0.131685
m0030,24e1c69c3acf45d0b3b613a71c3e0cca,wa000001,3,1.069948,1.388284
